Chr	Start	End	Strand	TranscriptId	GeneId	GeneName	RFP.ZT0.R1	RFP.ZT0.R2	RFP.ZT2.R1	RFP.ZT2.R2	RFP.ZT4.R1	RFP.ZT4.R2	RFP.ZT6.R1	RFP.ZT6.R2	RFP.ZT8.R1	RFP.ZT8.R2	RFP.ZT10.R1	RFP.ZT10.R2	RFP.ZT12.R1	RFP.ZT12.R2	RFP.ZT14.R1	RFP.ZT14.R2	RFP.ZT16.R1	RFP.ZT16.R2	RFP.ZT18.R1	RFP.ZT18.R2	RFP.ZT20.R1	RFP.ZT20.R2	RFP.ZT22.R1	RFP.ZT22.R2	RNA.ZT0.R1	RNA.ZT0.R2	RNA.ZT2.R1	RNA.ZT2.R2	RNA.ZT4.R1	RNA.ZT4.R2	RNA.ZT6.R1	RNA.ZT6.R2	RNA.ZT8.R1	RNA.ZT8.R2	RNA.ZT10.R1	RNA.ZT10.R2	RNA.ZT12.R1	RNA.ZT12.R2	RNA.ZT14.R1	RNA.ZT14.R2	RNA.ZT16.R1	RNA.ZT16.R2	RNA.ZT18.R1	RNA.ZT18.R2	RNA.ZT20.R1	RNA.ZT20.R2	RNA.ZT22.R1	RNA.ZT22.R2
chr8	3793397	3798984	-	ENSMUST00000012847	ENSMUSG00000031494	Cd209a	0.0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	0.000000	0.000000	0.000000	0.0	0.000000	0.000000	0.000000	0.000000	0.0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.082630	0.054137	0.000000	0.000000	0.064833	0.021135	0.090256	0.000000	0.000000	0.100312	0.000000	0.040212	0.000000	0.000000	0.000000	0.000000	0.0	0.056276	0.000000	0.044074	0.011425	0.000000	0.040670	0.000000
chr8	3705770	3710110	+	ENSMUST00000012849	ENSMUSG00000012705	Retn	0.0	0.0	0.000000	0.000000	0.000000	0.0	0.000000	0.000000	0.0	0.0	0.0	0.000000	0.0	0.000000	0.0	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.000000	0.0	0.000000	0.0	0.000000	0.0	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.000000	0.000000	0.0	0.0	0.0	0.000000	0.037326
chr2	90575714	90611365	+	ENSMUST00000013759	ENSMUSG00000008200	Fnbp4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.316384	0.000000	0.000000	0.523193	0.000000	0.000000	0.047836	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
chr17	35295913	35297780	+	ENSMUST00000013910	ENSMUSG00000013766	Ly6g6e	0.0	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.000000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.000000	0.000000	0.0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.033234	0.000000	0.0	0.000000	0.000000	0.000000	0.000000	0.000000	0.045450	0.000000	0.000000	0.000000	0.000000	0.000000	0.022634	0.000000	0.000000	0.0	0.0	0.000000	0.000000	0.056078	0.123280
chr3	121838092	121973708	+	ENSMUST00000013995	ENSMUSG00000028125	Abca4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.009905
chr7	43430459	43434834	+	ENSMUST00000014058	ENSMUSG00000030693	Klk10	0.000000	0.000000	0.0	0.000000	0.000000	0.000000	0.000000	0.0	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.000000	0.0	0.000000	0.000000	0.0	0.000000	0.000000	0.0	0.000000	0.0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.015255	0.000000	0.000000
chr8	3715754	3719259	+	ENSMUST00000014118	ENSMUSG00000013974	Mcemp1	0.000000	0.0	0.000000	0.0	0.0	0.0	0.000000	0.000000	0.000000	0.0	0.000000	0.000000	0.0	0.0	0.0	0.0	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.000000	0.0	0.000000	0.000000	0.076486	0.000000	0.040470	0.000000	0.045464	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	0.000000	0.066232	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
chr16	32096279	32119724	+	ENSMUST00000014218	ENSMUSG00000014074	Rnf168	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.558806	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.617435	1.696528
chr16	32238520	32247917	+	ENSMUST00000014220	ENSMUSG00000014075	Dynlt2b	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.186499	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.249719	0.251633
chr1	88066100	88146719	+	ENSMUST00000014263	ENSMUSG00000054545	Ugt1a6a	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	49.288742	34.441032	41.152164	35.936024	45.426579	32.056763	42.013798	28.010145	26.943188	63.877663	24.825098	36.783497	9.681914	0.000000	13.253848	20.035480	24.607182	20.862965	9.097929	7.962039	0.000000	26.648954	32.584236	8.738986
chr10	70760932	70995520	-	ENSMUST00000014473	ENSMUSG00000014329	Bicc1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.112732	0.000000	0.000000	0.000000	0.000000	0.000000	0.063543	0.000000	0.086961	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.367476
chr14	63610285	63654486	-	ENSMUST00000014597	ENSMUSG00000014453	Blk	0.0	0.0	0.000000	0.0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.000000	0.000000	0.000000	0.000000	0.000000	0.040535	0.000000	0.000000	0.040947	0.054782	0.091271	0.041429	0.044874	0.000000	0.000000	0.057012	0.057792	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.101061	0.112173
chr15	90527529	90563591	-	ENSMUST00000014777	ENSMUSG00000052560	Cpne8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.091847	0.000000	0.000000	0.000000	0.000000	0.303519	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
chr5	110283726	110319838	+	ENSMUST00000014812	ENSMUSG00000014668	Chfr	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.113163	0.000000	0.000000	0.000000	0.000000	0.031611	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.091577
chr7	19586022	19595224	-	ENSMUST00000014830	ENSMUSG00000014686	Ceacam16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.0	0.0	0.0	0.000000	0.0	0.0	0.0	0.0	0.000000	0.000000	0.0	0.0	0.0	0.000000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.023920	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000000	0.0	0.000000	0.000000
chr8	106194125	106198158	-	ENSMUST00000014990	ENSMUSG00000014846	Tppp3	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.233167	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.058662	0.000000	0.0	0.000000	0.000000	0.000000	0.000000	0.0	0.000000	0.000000	0.000000	0.000000	0.000000
chr11	105072743	105173002	+	ENSMUST00000015107	ENSMUSG00000020694	Tlk2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.332855	0.000000	0.000000	0.000000	0.820164	0.000000	0.000000	0.928003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.546303	0.000000
chr5	134684893	134717452	-	ENSMUST00000015137	ENSMUSG00000029674	Limk1	0.000000	0.069302	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.122657	0.167912	0.260394	0.224723	0.300946	0.000000	0.224206	0.213613	0.079009	0.020290	0.065655	0.169502	0.154448	0.031881	0.054270	0.065499	0.024080	0.079570	0.028498	0.000000	0.000000	0.065141	0.346741	0.425446
chr6	6041218	6217118	-	ENSMUST00000015256	ENSMUSG00000015112	Slc25a13	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.646611	0.168154	4.843985	0.213865	16.165169	0.197236	0.185107	9.717057	0.255550	0.953111	11.967344	0.764252	35.978779	28.785297	18.250742	0.002276	0.000000	23.765999	5.733115	5.331490	0.009679	19.589643	58.065231	21.322081
chr7	66040638	66077265	-	ENSMUST00000015278	ENSMUSG00000015134	Aldh1a3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	0.000000	0.000000	0.000000	0.000000	0.041447	0.083722	0.098639	0.000000	0.078394	0.027629	0.043382	0.030131	0.059284	0.035238	0.112997	0.103699	0.097264	0.000000	0.016764	0.054080	0.055663	0.052553	0.000000	0.000000	0.000000	0.012363	0.044203	0.101055
chr1	171594695	171628752	+	ENSMUST00000015460	ENSMUSG00000015316	Slamf1	0.0	0.0	0.0	0.000000	0.0	0.0	0.0	0.000000	0.0	0.000000	0.0	0.000000	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.0	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.0	0.0	0.019065	0.000000	0.0	0.014416	0.000000	0.022129	0.000000	0.000000	0.0	0.0	0.0	0.0	0.0	0.000000	0.0	0.0	0.0	0.016559	0.000000	0.000000
chr1	155951712	156032596	-	ENSMUST00000015628	ENSMUSG00000015484	Fam163a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.000000	0.0	0.0	0.000000	0.013747	0.0	0.0	0.000000	0.0	0.000000	0.005349	0.0	0.0	0.0	0.0	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.000000
chr10	13842123	14027117	+	ENSMUST00000015645	ENSMUSG00000015501	Hivep2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.564707	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.244662
chr17	26895344	26918621	+	ENSMUST00000015719	ENSMUSG00000015575	Atp6v0e	0.000000	0.287091	0.320286	0.000000	0.000000	0.000000	0.078826	0.000000	0.291423	0.000000	0.000000	0.084846	0.000000	0.000000	0.000000	0.207886	0.535935	0.000000	0.000000	0.000000	0.000000	0.332631	0.000000	0.271230	15.892831	14.541235	11.743595	18.226431	13.756547	8.432853	9.959703	9.870550	12.325336	16.240421	12.787635	10.981264	7.629846	4.732335	4.554903	4.764658	5.285986	7.467747	2.052467	1.941438	1.304069	6.175409	28.440926	17.963297
chr5	5721491	5744067	-	ENSMUST00000015797	ENSMUSG00000015653	Steap2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.031345	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.013391	0.031979	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.016811	0.000000
chr13	14784958	14787600	-	ENSMUST00000015816	ENSMUSG00000015672	Mrpl32	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.495655	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.270449	0.000000
chr3	95836590	95852877	+	ENSMUST00000015893	ENSMUSG00000015749	Anp32e	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.083500	0.000000	0.000000	0.000000	0.000000	0.000000	1.160496	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.979646
chr2	26795600	26800581	-	ENSMUST00000015920	ENSMUSG00000015776	Med22	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.084876	0.000000
chr5	45678349	45682947	+	ENSMUST00000015948	ENSMUSG00000015804	Med28	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.084047	0.031357	0.000000	0.020451	0.008199	0.060949	0.000000	0.026930	0.011037	0.025694	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.018238	0.095137	0.000000
chr5	45887733	46014855	-	ENSMUST00000016026	ENSMUSG00000015882	Lcorl	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.956798	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.042791	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
chr14	29700294	29715176	+	ENSMUST00000016115	ENSMUSG00000015971	Actr8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.391017	3.606921	3.524379	5.728901	3.576210	1.017641	3.440055	2.074602	2.660352	0.000000	1.920658	2.717078	0.000000	0.000000	2.127218	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.969929	5.499915
chr7	138683554	138768433	-	ENSMUST00000016125	ENSMUSG00000015981	Stk32c	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.043118	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.079236	0.057916
chr1	192984301	193026186	+	ENSMUST00000016315	ENSMUSG00000026639	Lamb3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.074140	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
chr1	194621127	194643587	+	ENSMUST00000016638	ENSMUSG00000016494	Cd34	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.199410	0.144850	0.000000	0.000000	0.276245	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
chr19	29326105	29339370	-	ENSMUST00000016639	ENSMUSG00000016495	Plgrkt	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.067797	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.016703
chr19	29344855	29365495	+	ENSMUST00000016640	ENSMUSG00000016496	Cd274	0.000000	0.000000	0.000000	0.147701	0.158334	0.000000	0.234696	0.000000	0.049663	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.040880	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.160921	0.335828	0.417687	0.393513	0.201737	0.557561	0.257698	0.448049	0.392923	0.149700	0.406355	0.363019	0.324775	0.153568	0.145391	0.043080	0.080678	0.046940	0.144472	0.021981	0.073500	0.043588	0.187425	0.254273	0.625308
chr1	130947582	130952711	+	ENSMUST00000016673	ENSMUSG00000016529	Il10	0.0	0.000000	0.0	0.0	0.000000	0.0	0.0	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.000000	0.0	0.0	0.0	0.0	0.000000	0.0	0.000000	0.0	0.0	0.078482	0.000000	0.0	0.0	0.0	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000000	0.000000	0.000000	0.000000
chr13	33149427	33163045	+	ENSMUST00000017184	ENSMUSG00000042842	Serpinb6b	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.029257	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
chr13	34101910	34119979	-	ENSMUST00000017188	ENSMUSG00000060147	Serpinb6a	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.011931	0.000000	0.000000	0.014966	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.070003	0.000000	0.000000
chr11	77419988	77476332	-	ENSMUST00000017435	ENSMUSG00000017291	Taok1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.919916	0.000000	0.000000	6.904862	4.485864	5.621531	1.179668	5.289071	8.043734	0.000000	6.291851	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.028273
chr11	78050226	78056415	-	ENSMUST00000017530	ENSMUSG00000017386	Traf4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.551421	5.329731	1.495596	0.000000	2.760170	1.707788	3.111199	3.259010	0.000000	4.486864	5.613179	4.703998	0.000000	0.000000	0.399508	0.435230	0.295371	0.789652	0.000000	0.000000	0.000000	0.129351	7.610128	5.918147
chr11	97927449	97944288	-	ENSMUST00000017544	ENSMUSG00000017400	Stac2	0.0	0.0	0.0	0.0	0.0	0.0	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000000	0.0	0.0	0.0	0.000000	0.000000	0.022328	0.0	0.000000	0.0	0.0	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000000	0.000000
chr11	78056932	78067501	-	ENSMUST00000017549	ENSMUSG00000017405	Nek8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000717	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.020074
chr11	97892334	97913460	-	ENSMUST00000017552	ENSMUSG00000020882	Cacnb1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.012095	0.000000	0.000000	0.000000	0.015538	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
chr11	98956504	98980132	-	ENSMUST00000017751	ENSMUSG00000017607	Tns4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.0	0.000000	0.000000	0.108863	0.054964	0.055426	0.000000	0.036865	0.098931	0.039383	0.033596	0.032439	0.030025	0.048715	0.057671	0.000000	0.020495	0.009204	0.009398	0.000000	0.030472	0.000000	0.000000	0.000000	0.031546	0.083502	0.094563
chr11	78413676	78427097	-	ENSMUST00000017759	ENSMUSG00000017615	Tnfaip1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.287096	0.451211	0.000000	0.109428	3.212302	0.195233	4.717436	2.769959	2.716171	1.883644	5.162667	2.358189	0.243732	0.212291	1.808594	0.000000	0.000000	0.052255	0.000000	0.000000	0.082443	0.128250	2.953288	4.222179
chr2	164897547	164914868	+	ENSMUST00000017799	ENSMUSG00000017652	Cd40	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.040679	0.077550	0.083371	0.146524	0.066320	0.000000	0.000000	0.037385	0.025440	0.049572	0.085062	0.088002	0.037064	0.000000	0.023791	0.010857	0.000000	0.042843	0.000000	0.0	0.000000	0.000000	0.017662	0.108570
chr11	80099945	80157593	+	ENSMUST00000017831	ENSMUSG00000017686	Rhot1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.604137	1.692683	0.979804	0.762508	2.335992	0.784465	0.000000	0.000000	0.969664	0.000000	2.657217	3.023620	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007371	0.000000	0.000000	0.000000	0.461132	1.800678
